Haus,house
Baum,tree
Auto,car
Straße,street
Fenster,window
Tür,door
Tisch,table
Stuhl,chair
Buch,book
Heft,notebook
Stift,pen
Bleistift,pencil
Radiergummi,eraser
Tasche,bag
Rucksack,backpack
Schule,school
Lehrer,teacher
Schüler,student
Klasse,class
Prüfung,exam
Frage,question
Antwort,answer
Wort,word
Satz,sentence
Sprache,language
Deutsch,German
Englisch,English
Freund,friend
Freundin,female friend
Familie,family
Mutter,mother
Vater,father
Bruder,brother
Schwester,sister
Kind,child
Baby,baby
Mann,man
Frau,woman
Junge,boy
Mädchen,girl
Hund,dog
Katze,cat
Vogel,bird
Fisch,fish
Pferd,horse
Kuh,cow
Schwein,pig
Schaf,sheep
Huhn,chicken
Maus,mouse
Apfel,apple
Banane,banana
Orange,orange
Traube,grape
Kartoffel,potato
Tomate,tomato
Zwiebel,onion
Karotte,carrot
Brot,bread
Butter,butter
Käse,cheese
Milch,milk
Wasser,water
Saft,juice
Kaffee,coffee
Tee,tea
Zucker,sugar
Salz,salt
Pfeffer,pepper
Ei,egg
Fleisch,meat
Fischgericht,fish dish
Suppe,soup
Reis,rice
Nudel,pasta
Kuchen,cake
Keks,cookie
Schokolade,chocolate
Eis,ice cream
Frühstück,breakfast
Mittagessen,lunch
Abendessen,dinner
Uhr,clock
Zeit,time
Tag,day
Nacht,night
Morgen,morning
Abend,evening
Woche,week
Monat,month
Jahr,year
Montag,Monday
Dienstag,Tuesday
Mittwoch,Wednesday
Donnerstag,Thursday
Freitag,Friday
Samstag,Saturday
Sonntag,Sunday
Frühling,spring
Sommer,summer
Herbst,autumn
Winter,winter
Sonne,sun
Mond,moon
Stern,star
Himmel,sky
Regen,rain
Schnee,snow
Wind,wind
Wolke,cloud
Feuer,fire
Erde,earth
Meer,sea
Fluss,river
See,lake
Berg,mountain
Wald,forest
Blume,flower
Gras,grass
Blatt,leaf
Wurzel,root
Kopf,head
Gesicht,face
Auge,eye
Ohr,ear
Nase,nose
Mund,mouth
Zahn,tooth
Hals,neck
Schulter,shoulder
Arm,arm
Hand,hand
Finger,finger
Bein,leg
Fuß,foot
Herz,heart
Blut,blood
Arzt,doctor
Krankenhaus,hospital
Medikament,medicine
Gesundheit,health
Krankheit,illness
Arbeit,work
Beruf,profession
Firma,company
Büro,office
Chef,boss
Kollege,colleague
Geld,money
Preis,price
Konto,account
Bank,bank
Markt,market
Laden,shop
Kunde,customer
Verkäufer,salesperson
Zug,train
Bus,bus
Flugzeug,airplane
Fahrrad,bicycle
Bahnhof,train station
Flughafen,airport
Reise,trip
Urlaub,vacation
Hotel,hotel
Zimmer,room
Schlüssel,key
Stadt,city
Dorf,village
Land,country
Grenze,border
Karte,map
Weg,path
Brücke,bridge
Ampel,traffic light
Polizei,police
Feuerwehr,fire brigade
Musik,music
Lied,song
Film,movie
Spiel,game
Sport,sport
Fußball,football
Schwimmen,swimming
Laufen,running
Lesen,reading
Schreiben,writing
Lernen,learning
Denken,thinking
Sprechen,speaking
Hören,listening
Sehen,seeing
Lieben,to love
Mögen,to like
Kaufen,to buy
Verkaufen,to sell
Öffnen,to open
Schließen,to close
Beginnen,to begin
Enden,to end
Schnell,fast
Langsam,slow
Groß,big
Klein,small
Neu,new
Alt,old
Gut,good
Schlecht,bad
Einfach,easy
Schwierig,difficult
